SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2025/2026,0-17 yrs,Greater Sierra-Sacramento,10/18/2025,42,2025,38,1407,2.700781805259417,Very Low,18,1392,1.293100,Very Low,10,961,1.040600,Low,18,0,,,,650543.000000,2,0,0,0.30743548082140609,0,0,Very Low,Very Low,Very Low,,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Greater Sierra-Sacramento,05/10/2025,19,2025,32,1308,2.4464831804281344,Very Low,53,1103,4.805100,Low,8,687,1.164500,Low,,,,,,662349.000000,4,3,1,0.60391123108814238,0.45293342331610675,0.15097780777203559,Very Low,Very Low,Very Low,,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Rural North,12/07/2024,49,2024,3,219,1.3698630136986301,Very Low,25,304,8.223700,Low,11,170,6.470600,Moderate,,,,,,147863.000000,0,0,0,0,0,0,Very Low,Very Low,Very Low,,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Greater Sierra-Sacramento,03/29/2025,13,2025,27,2277,1.1857707509881421,Very Low,364,2363,15.404100,High,112,1659,6.751100,Moderate,,,,,,662349.000000,0,7,17,0,1.0568446544042491,2.5666227321246051,Very Low,Low,High,,0,0,0,0.000000,0.000000,0.000000,,,
2025/2026,0-17 yrs,Greater Sierra-Sacramento,10/25/2025,43,2025,25,1578,1.5842839036755387,Very Low,22,1521,1.446400,Very Low,4,1064,0.375900,Very Low,17,0,,,,650543.000000,1,2,3,0.15371774041070305,0.30743548082140609,0.46115322123210917,Very Low,Very Low,Very Low,,0,0,0,0.000000,0.000000,0.000000,,,
2023/2024,0-17 yrs,Greater Sierra-Sacramento,11/18/2023,46,2023,113,2490,4.5381526104417667,Low,310,1962,15.800200,High,312,1365,22.857100,Very High,,,,,,,,,,,,,,,,,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Greater Sierra-Sacramento,05/17/2025,20,2025,21,1277,1.6444792482380579,Very Low,75,1130,6.637200,Low,6,699,0.858400,Very Low,,,,,,662349.000000,3,2,2,0.45293342331610675,0.30195561554407119,0.30195561554407119,Very Low,Very Low,Very Low,,0,0,0,0.000000,0.000000,0.000000,,,
2025/2026,0-17 yrs,Southern California,11/15/2025,46,2025,69,4349,1.5865716256610713,Very Low,114,3598,3.168400,Low,75,3008,2.493400,Low,56,27,,,,2856266.000000,6,14,15,0.21006446878547028,0.49015042716609725,0.52516117196367562,Very Low,Very Low,Low,,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Greater Sierra-Sacramento,02/08/2025,6,2025,59,4645,1.2701829924650161,Very Low,2290,4717,48.547800,Very High,505,3591,14.062900,Very High,,,,,,662349.000000,6,35,36,0.90586684663221351,5.2842232720212454,5.4352010797932806,Very Low,Moderate,Very High,,0,0,0,0.000000,0.000000,0.000000,,,
2024/2025,0-17 yrs,Greater Sierra-Sacramento,04/05/2025,14,2025,23,2140,1.0747663551401869,Very Low,281,2291,12.265400,Moderate,57,1632,3.492600,Low,,,,,,662349.000000,2,10,9,0.30195561554407119,1.509778077720356,1.3588002699483201,Very Low,Low,Low,,0,0,0,0.000000,0.000000,0.000000,,,
